i	sen	 p_x	p_y	px_gt	py_gt	px_sen	py_sen	v	v_gt	yaw	yaw_gt	yaw_rate	yaw_rate_gt	NIS
129	1	 17.9108	18.1524	17.9671	18.2246	18.3021	17.498	4.79058	4.80158	2.33556	2.31204	0.522993	0.548915	2.22569
130	0	 17.7737	18.303	17.8026	18.3994	17.9018	18.2183	4.75275	4.80227	2.35707	2.33948	0.520357	0.548437	1.29827
131	1	 17.637	18.4875	17.6334	18.5697	18.8558	18.1364	4.74526	4.80309	2.36292	2.3669	0.487607	0.547873	6.61062
132	0	 17.4505	18.6619	17.4595	18.7353	17.3845	18.7039	4.76464	4.80403	2.38941	2.3943	0.488728	0.547223	0.336515
133	1	 17.2667	18.8044	17.281	18.8962	17.7945	18.0801	4.75686	4.80509	2.42795	2.42166	0.518701	0.546486	1.89901
134	0	 17.1026	18.9443	17.0983	19.0521	17.1762	18.8863	4.73301	4.80628	2.45242	2.44898	0.518518	0.545663	0.481576
135	1	 16.935	19.1147	16.9113	19.203	16.9398	19.7311	4.73746	4.80759	2.46333	2.47627	0.493109	0.544754	2.92777
136	0	 16.7203	19.2281	16.7201	19.3488	16.5734	19.052	4.73308	4.80903	2.50447	2.5035	0.511818	0.543759	2.78111
137	1	 16.5313	19.3795	16.5251	19.4894	16.1674	20.2201	4.74238	4.81058	2.52978	2.53069	0.518798	0.542677	3.18784
138	0	 16.3159	19.5323	16.3262	19.6246	16.2338	19.6171	4.77268	4.81225	2.5552	2.55783	0.516344	0.54151	0.762829
139	1	 16.0906	19.6161	16.1237	19.7545	16.4366	18.2742	4.76229	4.81405	2.61017	2.5849	0.567713	0.540258	10.1407
140	0	 15.889	19.7566	15.9176	19.8789	15.9243	19.8703	4.77443	4.81595	2.6305	2.61191	0.557946	0.53892	0.753029
141	1	 15.6978	19.8845	15.7082	19.9978	16.2328	19.2166	4.76125	4.81798	2.63073	2.63886	0.491838	0.537498	3.17059
142	0	 15.4763	20.0312	15.4956	20.111	15.4332	20.1836	4.79457	4.82012	2.64773	2.66574	0.481174	0.53599	1.36176
143	1	 15.2692	20.1698	15.2799	20.2185	14.3677	21.3406	4.80713	4.82237	2.65839	2.69253	0.458865	0.534397	5.6553
144	0	 15.0785	20.3045	15.0613	20.3203	15.2016	20.4385	4.80295	4.82474	2.66839	2.71925	0.444664	0.532721	1.75177
145	1	 14.8488	20.3853	14.84	20.4162	14.7476	19.9571	4.8023	4.82721	2.70938	2.74589	0.479262	0.53096	2.23831
146	0	 14.6342	20.5045	14.6161	20.5063	14.6665	20.6088	4.81126	4.8298	2.72549	2.77244	0.470039	0.529115	0.635114
147	1	 14.4012	20.5883	14.3897	20.5904	13.841	21.0031	4.82004	4.8325	2.76546	2.79889	0.508083	0.527187	1.37137
148	0	 14.1558	20.6617	14.1611	20.6686	14.0521	20.5924	4.83218	4.83529	2.79854	2.82525	0.516009	0.525176	0.822553
149	1	 13.9218	20.7309	13.9304	20.7408	13.8232	20.859	4.83602	4.8382	2.83639	2.85151	0.544476	0.523081	0.359004
150	0	 13.6531	20.791	13.6977	20.807	13.4686	20.7253	4.86713	4.8412	2.87265	2.87767	0.55282	0.520904	2.03678
151	1	 13.4084	20.8195	13.4632	20.8671	13.8263	20.4261	4.86835	4.84431	2.9307	2.90371	0.619836	0.518645	2.12325
152	0	 13.1597	20.8613	13.2271	20.9211	13.1072	20.8294	4.87582	4.84751	2.96497	2.92964	0.623022	0.516304	0.198789
153	1	 12.93	20.9199	12.9895	20.969	13.2669	21.1579	4.87167	4.85081	2.98438	2.95546	0.603782	0.513881	1.79336
154	0	 12.7186	20.9693	12.7506	21.0108	12.8729	21.0592	4.84796	4.85421	3.00596	2.98115	0.595758	0.511377	1.67981
155	1	 12.4713	21.008	12.5106	21.0465	11.5171	21.6724	4.85913	4.85769	3.03348	3.00672	0.593718	0.508793	2.65222
156	0	 12.2236	21.0457	12.2695	21.0761	12.2062	21.11	4.87065	4.86127	3.05794	3.03216	0.586922	0.506127	0.244952
157	1	 11.9863	21.0652	12.0276	21.0996	12.3859	21.1066	4.86788	4.86493	3.08903	3.05747	0.595087	0.503383	0.87927
158	0	 11.7381	21.0376	11.785	21.117	11.6814	20.8651	4.86219	4.86868	3.1333	3.08264	0.612095	0.500558	1.76052
159	1	 11.4925	21.0241	11.5418	21.1283	11.5265	20.6748	4.86127	4.87251	3.16788	3.10767	0.61518	0.497655	1.04959
160	0	 11.268	21.0208	11.2982	21.1335	11.363	21.0688	4.84367	4.87643	3.19538	3.13255	0.612713	0.494673	0.594689
161	1	 11.0165	20.9815	11.0544	21.1327	10.5558	20.5567	4.84928	4.88042	3.2346	3.15728	0.620973	0.491613	4.11101
162	0	 10.7968	20.9462	10.8105	21.1259	10.8903	20.927	4.82503	4.88449	3.26916	3.18186	0.626848	0.488475	0.500239
163	1	 10.5473	20.9486	10.5666	21.1131	9.30535	21.3896	4.82621	4.88862	3.26602	3.20629	0.550432	0.48526	5.77584
164	0	 10.2764	20.9749	10.3229	21.0943	10.189	21.209	4.86768	4.89283	3.26865	3.23055	0.518152	0.481969	3.51774
165	1	 10.0369	20.9568	10.0795	21.0697	9.97958	21.2932	4.86676	4.89711	3.28682	3.25465	0.506747	0.478601	1.00018
166	0	 9.83045	20.9223	9.83658	21.0391	9.99634	20.9797	4.8306	4.90145	3.31183	3.27858	0.508641	0.475158	1.62725
167	1	 9.58972	20.9178	9.59422	21.0028	9.38223	21.111	4.82202	4.90586	3.3027	3.30234	0.435441	0.47164	2.06525
168	0	 9.38656	20.869	9.35258	20.9607	9.53921	20.8762	4.78483	4.91032	3.32929	3.32592	0.443077	0.468047	1.26729
169	1	 9.15943	20.8287	9.11177	20.9128	9.63392	20.9724	4.77904	4.91484	3.35172	3.34932	0.448548	0.46438	1.54677
170	0	 8.8833	20.7942	8.87192	20.8594	8.70331	20.8221	4.82555	4.91942	3.36416	3.37254	0.434747	0.46064	1.84234
171	1	 8.66306	20.7149	8.63315	20.8003	9.84634	20.009	4.81407	4.92404	3.40078	3.39557	0.460296	0.456828	4.6103
172	0	 8.39935	20.6288	8.39557	20.7358	8.22277	20.4839	4.84996	4.92872	3.43015	3.41841	0.466135	0.452943	2.71118
173	1	 8.17063	20.5478	8.1593	20.6657	8.29647	20.4978	4.85146	4.93344	3.46215	3.44106	0.484514	0.448987	0.160645
174	0	 7.93179	20.4677	7.92445	20.5903	7.88599	20.45	4.86208	4.9382	3.4858	3.46351	0.483353	0.444959	0.127892
175	1	 7.71552	20.3802	7.69111	20.5096	8.29081	20.6565	4.85947	4.943	3.52343	3.48576	0.519104	0.440862	3.56529
176	0	 7.42589	20.3208	7.45939	20.4237	7.18029	20.392	4.92424	4.94783	3.52785	3.5078	0.490455	0.436695	3.72897
177	1	 7.19715	20.2228	7.22939	20.3326	7.09214	20.1196	4.9256	4.9527	3.5516	3.52963	0.486753	0.432459	0.223029
178	0	 6.93828	20.1415	7.00119	20.2364	6.81542	20.1859	4.95813	4.9576	3.56338	3.55126	0.470218	0.428154	0.984905
179	1	 6.71429	20.0489	6.7749	20.1352	6.89359	20.1536	4.95226	4.96252	3.57954	3.57266	0.456663	0.423782	0.383177
180	0	 6.46703	19.9598	6.55059	20.0292	6.38914	20.0137	4.9734	4.96747	3.59134	3.59385	0.442533	0.419343	0.526776
181	1	 6.25045	19.8651	6.32834	19.9183	6.67637	20.2142	4.96425	4.97244	3.6097	3.61482	0.440994	0.414838	2.69925
182	0	 5.9913	19.774	6.10823	19.8027	5.86119	19.8306	4.99826	4.97743	3.61609	3.63556	0.420872	0.410268	1.17916
183	1	 5.77298	19.6246	5.89034	19.6824	5.28178	19.5036	5.01682	4.98243	3.66341	3.65608	0.474409	0.405632	2.26597
184	0	 5.58122	19.5041	5.67472	19.5577	5.69089	19.5755	4.98996	4.98744	3.68897	3.67636	0.477733	0.400933	0.900179
185	1	 5.38216	19.3534	5.46145	19.4284	5.9506	18.9859	4.98656	4.99246	3.725	3.6964	0.497242	0.39617	1.68574
186	0	 5.16256	19.2536	5.25059	19.2948	5.17021	19.4397	4.98536	4.99749	3.73217	3.71621	0.476085	0.391345	1.86709
187	1	 4.96286	19.1427	5.04219	19.157	5.87397	19.301	4.95818	5.00251	3.73607	3.73578	0.43601	0.386458	4.47613
188	0	 4.78947	18.9911	4.8363	19.015	4.89149	18.982	4.93262	5.00754	3.76864	3.7551	0.450246	0.381509	0.607821
189	1	 4.58567	18.8403	4.63297	18.8689	3.98679	19.0452	4.94659	5.01256	3.79741	3.77418	0.467963	0.376501	1.48304
190	0	 4.40075	18.7083	4.43224	18.7188	4.4685	18.834	4.92835	5.01757	3.81546	3.793	0.462271	0.371433	1.04949
191	1	 4.21044	18.5675	4.23416	18.5648	4.69245	18.4634	4.91052	5.02257	3.82355	3.81158	0.428078	0.366307	1.40377
192	0	 4.07344	18.4091	4.03876	18.4071	4.26269	18.481	4.86243	5.02756	3.85922	3.82989	0.447896	0.361122	2.25058
193	1	 3.89913	18.2345	3.84606	18.2457	3.42434	18.8357	4.88636	5.03253	3.90869	3.84795	0.515176	0.355881	6.92052
194	0	 3.65623	18.0957	3.65611	18.0807	3.45919	18.167	4.93266	5.03748	3.90315	3.86574	0.474033	0.350583	2.66276
195	1	 3.48402	17.9453	3.46891	17.9122	4.3011	17.9267	4.90349	5.0424	3.90919	3.88327	0.434448	0.34523	3.40867
196	0	 3.26604	17.7802	3.28449	17.7402	3.12525	17.7493	4.93859	5.0473	3.91537	3.90053	0.413356	0.339823	1.18689
197	1	 3.09488	17.5954	3.10287	17.565	2.65664	17.888	4.95637	5.05217	3.95343	3.91752	0.455281	0.334362	2.46684
198	0	 2.90785	17.4783	2.92405	17.3866	2.9449	17.8154	4.93383	5.057	3.94887	3.93424	0.422371	0.328848	6.04267
199	1	 2.77455	17.2598	2.74805	17.2051	3.26647	17.0897	4.94688	5.0618	4.01049	3.95068	0.499287	0.323282	3.18594
200	0	 2.60037	17.0754	2.57486	17.0205	2.55407	17.0853	4.95733	5.06656	4.02786	3.96685	0.489398	0.317665	0.137369
201	1	 2.43006	16.909	2.4045	16.833	2.55039	16.8884	4.93243	5.07128	4.02337	3.98273	0.429551	0.311998	2.0813
202	0	 2.26312	16.7369	2.23695	16.6427	2.25371	16.8334	4.9293	5.07596	4.03443	3.99833	0.416603	0.306282	0.507246
203	1	 2.08795	16.5429	2.07221	16.4497	1.57735	16.0489	4.93556	5.08058	4.03779	4.01365	0.378503	0.300517	5.04399
204	0	 1.93732	16.3136	1.91027	16.254	1.88972	16.1054	4.95916	5.08516	4.06802	4.02867	0.391755	0.294705	2.35338
205	1	 1.77323	16.1378	1.75112	16.0557	1.74362	16.2687	4.94323	5.08968	4.06479	4.04341	0.348185	0.288846	1.01329
206	0	 1.56961	15.9721	1.59474	15.8549	1.44745	16.0853	4.96305	5.09414	4.05181	4.05785	0.309044	0.282942	1.7021
207	1	 1.45207	15.7396	1.44111	15.6517	1.6097	15.5526	4.98165	5.09855	4.10468	4.07199	0.379244	0.276993	2.23957
208	0	 1.2827	15.5248	1.29021	15.4463	1.18395	15.4284	5.01051	5.10289	4.11535	4.08584	0.367866	0.271	1.01465
209	1	 1.1262	15.3319	1.14201	15.2386	0.828993	15.528	5.00816	5.10717	4.11981	4.09939	0.345686	0.264964	0.921733
210	0	 0.920945	15.1195	0.996486	15.0288	0.722706	15.0075	5.06007	5.11138	4.11231	4.11264	0.312717	0.258887	2.91657
211	1	 0.767622	14.9373	0.853604	14.8169	1.03147	15.2134	5.03577	5.11551	4.1061	4.12559	0.27023	0.252769	2.08506
212	0	 0.657716	14.7207	0.71333	14.603	0.737301	14.7047	5.01996	5.11958	4.13436	4.13823	0.289176	0.246611	0.412448
213	1	 0.553435	14.4788	0.575628	14.3872	0.722177	14.2445	5.03646	5.12357	4.18049	4.15056	0.346999	0.240414	1.95769
214	0	 0.381998	14.2604	0.440459	14.1696	0.253435	14.2029	5.06875	5.12748	4.18007	4.16258	0.323752	0.234179	1.14471
215	1	 0.27653	14.0096	0.307779	13.9502	-0.0328023	13.9604	5.10392	5.13132	4.23082	4.17429	0.395917	0.227907	3.6243
216	0	 0.248697	13.7563	0.177545	13.7292	0.459172	13.6856	5.06675	5.13507	4.2924	4.18568	0.449929	0.221599	3.0974
217	1	 0.155026	13.5147	0.0497099	13.5065	0.0524412	13.6377	5.08449	5.13873	4.32796	4.19676	0.479215	0.215255	1.11955
218	0	 -0.011546	13.2894	-0.0757753	13.2823	-0.190344	13.2856	5.1206	5.14231	4.31771	4.20752	0.433182	0.208879	2.00882
219	1	 -0.130259	13.0698	-0.198962	13.0566	-0.275043	13.1456	5.106	5.14579	4.31819	4.21797	0.394145	0.202468	0.965076
220	0	 -0.147779	12.8367	-0.319903	12.8295	0.0462308	12.9301	5.05867	5.14919	4.37198	4.22809	0.441172	0.196027	2.74703
221	1	 -0.271583	12.6113	-0.438654	12.6011	-0.684792	12.3563	5.04863	5.15249	4.36181	4.23789	0.382104	0.189554	3.7716
222	0	 -0.392725	12.3767	-0.555273	12.3714	-0.476482	12.3633	5.06536	5.15569	4.36342	4.24737	0.358094	0.183051	0.455082
223	1	 -0.525314	12.1674	-0.669818	12.1404	-0.972122	12.5207	5.05132	5.1588	4.34679	4.25652	0.302352	0.176519	3.79194
224	0	 -0.607559	11.9447	-0.78235	11.9083	-0.582624	12.0386	5.03591	5.1618	4.36236	4.26535	0.303629	0.169959	0.482045
225	1	 -0.7395	11.7179	-0.892931	11.6751	-1.26757	11.6495	5.04237	5.16471	4.34907	4.27385	0.258865	0.163373	2.73528
226	0	 -0.931267	11.4811	-1.00163	11.4409	-1.17212	11.3988	5.09313	5.16751	4.31371	4.28201	0.193817	0.156761	3.99412
227	1	 -1.04756	11.2535	-1.1085	11.2057	-0.891441	10.959	5.07825	5.1702	4.30065	4.28985	0.144802	0.150124	2.6409
228	0	 -1.22149	11.0302	-1.21362	10.9695	-1.39289	11.0424	5.1056	5.17278	4.273	4.29736	0.0995119	0.143463	1.87546
229	1	 -1.29292	10.7833	-1.31706	10.7324	-1.29894	10.9012	5.11833	5.17526	4.31166	4.30453	0.164846	0.136779	1.72506
230	0	 -1.41856	10.5328	-1.41889	10.4945	-1.49687	10.4198	5.14571	5.17763	4.31067	4.31137	0.153056	0.130074	1.00756
231	1	 -1.49648	10.2718	-1.51917	10.2559	-1.59293	10.0212	5.16997	5.17988	4.3431	4.31787	0.201794	0.123349	1.87503
232	0	 -1.60057	10.0588	-1.61797	10.0165	-1.61875	10.2374	5.15	5.18202	4.34332	4.32404	0.189669	0.116604	1.66506
233	1	 -1.69194	9.82693	-1.71539	9.77637	-1.59702	9.96554	5.13865	5.18405	4.34875	4.32987	0.180146	0.10984	0.393701
234	0	 -1.77107	9.60289	-1.81147	9.53564	-1.73381	9.71347	5.11786	5.18596	4.36003	4.33536	0.183286	0.10306	0.702914
235	1	 -1.87292	9.35405	-1.90631	9.29431	-2.27191	9.37316	5.14372	5.18775	4.37283	4.34052	0.201715	0.0962627	2.64081
236	0	 -1.94815	9.06591	-1.99998	9.05243	-1.93833	8.77028	5.18202	5.18942	4.39385	4.34533	0.215012	0.0894504	4.49115
237	1	 -2.03951	8.83996	-2.09256	8.81003	-1.96565	9.13274	5.15957	5.19097	4.38873	4.3498	0.18259	0.0826241	1.61273
238	0	 -2.13465	8.58868	-2.18412	8.56717	-2.1768	8.5411	5.17301	5.19241	4.39247	4.35393	0.175427	0.0757847	0.220454
239	1	 -2.25808	8.33874	-2.27474	8.32388	-2.65862	8.19477	5.19834	5.19372	4.38231	4.35772	0.150288	0.0689333	2.97039
240	0	 -2.31048	8.10008	-2.3645	8.0802	-2.21875	8.15339	5.17622	5.19491	4.40254	4.36117	0.166926	0.062071	0.643152
241	1	 -2.38145	7.88148	-2.45348	7.83617	-2.273	8.52315	5.14254	5.19597	4.40688	4.36427	0.156992	0.0551989	5.33198
242	0	 -2.49198	7.63243	-2.54177	7.59184	-2.59674	7.60288	5.16294	5.19691	4.40011	4.36703	0.138096	0.0483182	0.690841
243	1	 -2.65789	7.4004	-2.62944	7.34723	-3.08256	7.38874	5.17689	5.19773	4.35052	4.36945	0.0400775	0.0414297	5.43161
244	0	 -2.76064	7.14607	-2.71658	7.10238	-2.79865	7.064	5.19464	5.19842	4.34919	4.37152	0.0357572	0.0345348	0.428299
245	1	 -2.822	6.90805	-2.80326	6.85734	-2.79412	7.20818	5.18172	5.19899	4.37279	4.37325	0.0782247	0.0276344	1.69672
246	0	 -2.8726	6.69114	-2.88957	6.61214	-2.74651	6.86867	5.13715	5.19943	4.38779	4.37463	0.0916217	0.0207296	2.51972
247	1	 -2.94722	6.46233	-2.97559	6.36681	-2.57673	6.36755	5.1073	5.19975	4.37767	4.37567	0.0471336	0.0138215	4.19811
248	0	 -3.00383	6.22232	-3.0614	6.12139	-2.90217	6.22989	5.09238	5.19994	4.39101	4.37636	0.0604545	0.00691132	0.584057
249	1	 -3.11666	5.97796	-3.14709	5.87592	-3.50172	6.10796	5.11475	5.2	4.38434	4.3767	0.054742	-1.76894e-16	3.06808
250	0	 -3.19434	5.70803	-3.23274	5.63043	-3.1778	5.53101	5.14032	5.19994	4.39241	4.3767	0.0612831	-0.00691132	1.62804
251	1	 -3.30328	5.4621	-3.31843	5.38496	-3.19736	5.19093	5.14839	5.19975	4.36983	4.37636	0.00566818	-0.0138215	2.04265
252	0	 -3.39712	5.20416	-3.40424	5.13955	-3.43031	5.10507	5.16814	5.19943	4.36912	4.37567	0.00462645	-0.0207296	0.565477
253	1	 -3.46333	4.95673	-3.49026	4.89422	-3.4281	4.94644	5.16564	5.19899	4.38628	4.37463	0.0390291	-0.0276344	0.352918
254	0	 -3.5713	4.68637	-3.57657	4.64902	-3.69435	4.52196	5.20576	5.19842	4.38172	4.37325	0.0320003	-0.0345348	2.20244
255	1	 -3.67919	4.43633	-3.66325	4.40398	-3.50501	4.17643	5.21596	5.19773	4.35985	4.37152	-0.0220671	-0.0414297	2.12418
256	0	 -3.80709	4.17305	-3.75039	4.15913	-4.00238	4.04684	5.2562	5.19691	4.34723	4.36945	-0.0343994	-0.0483182	2.83603
257	1	 -3.88837	3.93034	-3.83806	3.91452	-4.06447	4.10977	5.25003	5.19597	4.36089	4.36703	0.00338251	-0.0551989	1.20128
258	0	 -3.96405	3.6926	-3.92635	3.67019	-3.88053	3.75177	5.23284	5.19491	4.36498	4.36427	0.00712639	-0.062071	0.542356
259	1	 -4.06996	3.48105	-4.01533	3.42616	-4.23729	3.88878	5.20268	5.19372	4.34328	4.36117	-0.0399841	-0.0689333	3.89818
260	0	 -4.16183	3.23585	-4.10509	3.18248	-4.15119	3.21968	5.20451	5.19241	4.34243	4.35772	-0.0386254	-0.0757847	0.0197132
261	1	 -4.27503	2.98556	-4.19571	2.93919	-4.27467	2.88187	5.22245	5.19097	4.32685	4.35393	-0.0693189	-0.0826241	0.705978
262	0	 -4.36302	2.71572	-4.28727	2.69633	-4.32451	2.55034	5.24723	5.18942	4.33133	4.3498	-0.0590916	-0.0894504	1.507
263	1	 -4.44986	2.46524	-4.37985	2.45393	-4.38481	2.39989	5.24933	5.18775	4.33873	4.34533	-0.0366102	-0.0962627	0.261221
264	0	 -4.55237	2.20436	-4.47352	2.21205	-4.61223	2.09192	5.27179	5.18596	4.33779	4.34052	-0.0341171	-0.10306	0.822388
265	1	 -4.66352	1.97272	-4.56836	1.97072	-4.29257	1.92854	5.26494	5.18405	4.30846	4.33536	-0.105931	-0.10984	3.75913
266	0	 -4.77664	1.70597	-4.66444	1.72998	-4.86829	1.53442	5.29864	5.18202	4.30519	4.32987	-0.101093	-0.116604	1.90989
267	1	 -4.89976	1.46065	-4.76186	1.48989	-4.98165	1.43611	5.31269	5.17988	4.28607	4.32404	-0.134087	-0.123349	0.554098
268	0	 -4.96326	1.21845	-4.86066	1.25049	-4.66779	1.28643	5.28681	5.17763	4.29343	4.31787	-0.120083	-0.130074	4.70102
269	1	 -5.06103	0.993633	-4.96095	1.01182	-4.98594	1.10894	5.26096	5.17526	4.29308	4.31137	-0.10376	-0.136779	1.00324
270	0	 -5.12524	0.75355	-5.06277	0.77393	-4.85498	0.825661	5.23688	5.17278	4.30066	4.30453	-0.0907239	-0.143463	3.99785
271	1	 -5.21528	0.469285	-5.16621	0.536876	-4.84736	0.18101	5.282	5.1702	4.30584	4.29736	-0.0855059	-0.150124	5.41138
272	0	 -5.29167	0.224308	-5.27133	0.300706	-5.1231	0.257311	5.26972	5.16751	4.3107	4.28985	-0.0753469	-0.156761	1.52049
273	1	 -5.40101	-0.0140111	-5.3782	0.0654719	-5.99809	-0.290765	5.26376	5.16471	4.31726	4.28201	-0.0380831	-0.163373	5.96651
274	0	 -5.47271	-0.258257	-5.4869	-0.168772	-5.29972	-0.212982	5.25008	5.1618	4.32481	4.27385	-0.0272401	-0.169959	1.64628
275	1	 -5.59608	-0.451766	-5.59748	-0.401971	-5.64447	-0.144522	5.20632	5.1588	4.30076	4.26535	-0.064099	-0.176519	3.98134
276	0	 -5.73559	-0.644268	-5.71001	-0.634069	-5.85359	-0.445801	5.17099	5.15569	4.27508	4.25652	-0.0946593	-0.183051	2.95692
